words,emotion,color,orientation,sentiment,subjectivity,source
الى الوراء,Disgust,brown,,,,colour
حقر,anger,,,negative,strong,mpqa
إذلال,anger,,,negative,strong,mpqa
إذلال,sadness,,,negative,strong,mpqa
إذلال,Disgust,,,negative,strong,mpqa
خجل,anticipation,,,negative,strong,mpqa
خجل,fear,,,negative,strong,mpqa
انحسر,fear,,passive,negative,weak,mpqa
انحسر,surprise,,passive,negative,weak,mpqa
تنازل,anger,,passive,negative,weak,mpqa
شاذ,fear,,,negative,,emolex
شاذ,Disgust,,,negative,,emolex
تعليق,fear,grey,,,,colour
تعليق لاذع,anger,grey,,negative,,colour
مقت,anger,,,negative,strong,mpqa
مقت,Disgust,,,negative,strong,mpqa
مقت,fear,,,negative,strong,mpqa
مثير للاشمئزاز,anger,,,negative,strong,mpqa
مثير للاشمئزاز,Disgust,,,negative,strong,mpqa
مثير للاشمئزاز,fear,,,negative,strong,mpqa
يمقت,anger,,,negative,strong,mpqa
التقيد,trust,,,positive,strong,mpqa
عدم الالتزام,anger,,active,negative,strong,mpqa
عدم الالتزام,sadness,,active,negative,strong,mpqa
عدم الالتزام,fear,,active,negative,strong,mpqa
قدرات,trust,,,positive,weak,mpqa
قدرات,joy,,,positive,weak,mpqa
عدم القدرة,sadness,,,negative,strong,mpqa
عدم القدرة,fear,,,negative,weak,mpqa
القدرة,trust,,,positive,weak,emolex
القدرة,joy,,,positive,weak,emolex
ذريعا,sadness,,,negative,strong,mpqa
فشلا ذريعا,sadness,,,negative,strong,mpqa
فشلا ذريعا,anger,,,negative,strong,mpqa
تنكر,anger,,,negative,weak,mpqa
تنكر,Disgust,,,negative,weak,mpqa
تستنكر,trust,,,negative,weak,mpqa
تستنكر,anger,,,negative,strong,mpqa
مشتعل,anger,red,,,,colour
اشتعال,anger,red,,,,colour
اشتعال,sadness,red,,,,colour
قادر,trust,,,positive,weak,mpqa
على متن سفينة,trust,blue,,,,colour
على متن سفينة,joy,blue,,,,colour
مسكن,trust,brown,,,,colour
مقيت,Disgust,,,negative,strong,opinion
بدائي,anticipation,brown,,,,colour
إجهاض,fear,,,negative,,emolex
إجهاض,sadness,,,negative,,emolex
أجهض,sadness,,,negative,,opinion
أجهض,fear,,,negative,,opinion
تكثر,trust,,passive,positive,weak,opinion
سوف تكثر,anticipation,,passive,positive,weak,opinion
تزخر,trust,,,positive,,opinion
تزخر,joy,,,positive,,opinion
 الاعلى,trust,,,positive,weak,mpqa
فوق المتوسط,trust,,,positive,weak,mpqa
فوق المتوسط,anticipation,,,positive,weak,mpqa
ورد أعلاه,anticipation,grey,,positive,,emolex
كشط,anger,,,negative,weak,opinion
تآكل,sadness,,,negative,,emolex
تآكل,fear,,,negative,,emolex
تآكل,anger,,,negative,,emolex
كاشط,anger,,,negative,strong,opinion
فسخ,anger,,,negative,,emolex
فسخ,sadness,,,negative,,emolex
بشكل مفاجئ,anticipation,red,,negative,,opinion
بشكل مفاجئ,fear,red,,negative,,opinion
يتهرب من ,anger,,active,negative,strong,opinion
شارد الذهن,sadness,,passive,negative,strong,opinion
شارد الذهن,fear,,passive,negative,strong,opinion
الغياب,anger,,,negative,,emolex
الغياب,sadness,,,negative,,emolex
الغياب,fear,,,negative,,emolex
غاب عن الوعي ,غابت عن الوعي,sadness,,,negative,,emolex
غاب عن الوعي ,غابت عن الوعي,fear,,,negative,,emolex
مطلق,trust,,,positive,strong,emolex
تبرئة,trust,,active,positive,strong,mpqa
يمتص,anger,,,positive,weak,emolex
سخافة,anger,,,negative,strong,emolex
على نحو سخيف,anger,,,negative,strong,opinion
على نحو سخيف,Disgust,,,negative,strong,opinion
السخف,anger,,,negative,strong,opinion
سوء المعاملة,Disgust,,,negative,,opinion
سوء المعاملة,anger,,,negative,strong,opinion
سوء المعاملة,fear,,,negative,,opinion
انتهاكات,fear,,,negative,weak,opinion
انتهاكات,anger,,,negative,weak,opinion
انتهاكات,Disgust,,,negative,weak,opinion
انتهاك,anger,,,negative,strong,opinion
الأكاديمية,trust,,,positive,,emolex
الانضمام,trust,,active,positive,strong,mpqa
تعجل,surprise,,active,,,inquirer
التأكيد,trust,,active,positive,strong,mpqa
قبول,trust,yellow,passive,positive,weak,mpqa
مقبول,trust,,,positive,weak,emolex
التمكن من,trust,green,,,,colour
تمكن من,joy,green,,,,colour
يمكن الوصول,trust,,,positive,weak,emolex
الانضمام,trust,,,positive,,inquirer
هتاف,joy,,,positive,strong,opinion
اللاذعة,anger,,,positive,strong,opinion
بالتزكية,joy,,,positive,strong,opinion
الجوائز,joy,,,positive,strong,opinion
يوفق,trust,,active,positive,strong,inquirer
يوفق,anticipation,,active,positive,,inquirer
يوفق,joy,,active,positive,,inquirer
متكيفة,trust,,,positive,weak,opinion
متكيفة,anticipation,,,positive,weak,opinion
مرافقة,trust,,active,,,inquirer
إنجاز,joy,,active,positive,weak,emolex
الإنجازات,joy,,,positive,weak,opinion
الإنجازات,trust,,,positive,strong,opinion
دنا منه,fear,,active,negative,weak,opinion
تعود,anticipation,green,active,positive,,inquirer
ترحيب,joy,,,positive,,emolex
ترحيب,trust,,,positive,strong,emolex
الترحيب,trust,,,positive,strong,emolex
تراكم,surprise,,active,,,inquirer
صحة,trust,,,positive,,inquirer
بدقة,trust,,,positive,weak,opinion
اتهامات,anger,,,negative,strong,opinion
حالة النصب,anger,red,,negative,,emolex
حالة النصب,Disgust,red,,negative,,emolex
حالة النصب,fear,red,,negative,,emolex
اتهم,anger,,,negative,strong,opinion
وتتهم المنية , واتته المنية,sadness,,,negative,strong,opinion
بأصابع الاتهام,anger,,,negative,strong,opinion
أصابع الاتهام,anger,,,negative,strong,opinion
أجاد,trust,black,,positive,,emolex
أجاد,joy,black,,positive,,emolex
لاذع,anger,,,negative,strong,opinion
لاذع,Disgust,,,negative,strong,opinion
المشاهدين الى,,,,negative,strong,opinion
آلم,sadness,,,negative,,opinion
آلام,sadness,,,negative,,opinion
قابل للتحقيق,trust,,,positive,weak,opinion
الإنجازات,joy,,,positive,weak,opinion
الإنجازات,trust,,,positive,weak,opinion
حامض,Disgust,,,negative,,emolex
الإقرار,trust,,,positive,weak,mpqa
إعتراف , الإعتراف,surprise,,,positive,strong,mpqa
إعتراف , الإعتراف,anticipation,,,positive,weak,emolex
إعترف ,إعترفت , يعترف,fear,,,positive,strong,emolex
