word,emotion,color,orientation,sentiment,subjectivity,source
رئيس الدير,trust,,,,,emolex
أكاديمي,trust,,,positive,,emolex
اتفاق,trust,,,positive,weak,emolex
الحساب,trust,,active,,,emolex
المسائلة,trust,,,positive,,emolex
مسؤول,trust,,,positive,weak,emolex
محاسب,trust,green,,,,emolex
حسابات,trust,,,,,emolex
معتمد,trust,,,positive,,emolex
دقيق,trust,,,positive,weak,emolex
الالتزام,trust,,,,,emolex
إداري,trust,,active,,,emolex
أميرال,trust,,,positive,,emolex
معجب,trust,,passive,positive,strong,emolex
مسموح,trust,,passive,positive,,emolex
النصيحة,trust,black,,positive,weak,emolex
المستحسن,trust,,,positive,weak,emolex
نصيحة,trust,pink,,positive,,emolex
نصح,trust,,,,,emolex
مستشار,trust,,,positive,,emolex
المؤيد,trust,,active,positive,strong,emolex
يؤكد,trust,,,positive,strong,emolex
بالإيجاب,trust,,,positive,,emolex
مقبول,trust,,,positive,weak,emolex
متفق عليه,trust,,,positive,,emolex
الاتفاق,trust,,,positive,,emolex
اتفاقية,trust,,,positive,weak,emolex
قريب,trust,,,,,emolex
الألب ثوب كهنوتى,trust,,,,,emolex
ولاء,trust,,,positive,,emolex
تحالف,trust,,,positive,strong,emolex
حليف,trust,,,positive,,emolex
حليف,trust,,,positive,strong,emolex
سفير,trust,,,positive,,emolex
الإطفاء,trust,,,,,emolex
اسلاف,trust,,,,,emolex
مسؤول,trust,,,,,emolex
مضاد,trust,,,positive,,emolex
مطهر,trust,white,,positive,,emolex
اعتذاري,trust,,,positive,,emolex
رسول,trust,white,,positive,strong,emolex
رسولي,trust,,,,,emolex
صبى يتعلم حرفة ما,trust,,,,,emolex
استحسان,trust,,,positive,,emolex
حكم,trust,black,,positive,,emolex
المحكم,trust,,,,,emolex
هندسة معمارية,trust,grey,,,,emolex
ترسانة,trust,,,,,emolex
المجسم,trust,,,positive,,emolex
مؤكدا,trust,,,positive,,emolex
مخمن,trust,black,,,,emolex
المحال,trust,,,,,emolex
مساعدة,trust,,active,positive,,emolex
مساعد,trust,,active,positive,,emolex
جمعية,trust,,active,positive,,emolex
توكيد,trust,,,positive,weak,emolex
ضمان,trust,,,positive,strong,emolex
مؤكد,trust,,,positive,,emolex
بالتأكيد,trust,,,positive,strong,emolex
حاضر,trust,,active,positive,,emolex
منتبه,trust,,passive,positive,strong,emolex
يشهد,trust,white,passive,positive,strong,emolex
تصديق,trust,,,,,emolex
عمة,trust,pink,,positive,,emolex
مصادقة,trust,,,,,emolex
المصادقة,trust,,,,,emolex
أصالة,trust,blue,,positive,,emolex
مؤلف,trust,,,positive,,emolex
موثوق,trust,purple,,positive,weak,emolex
السلطة,trust,,,positive,,emolex
تفويض,trust,,,positive,,emolex
